target,setsize,resp,rt,sub,correct
Absent,16,2,3.85363929,2,1
Present,16,1,0.935943165,2,1
Absent,16,1,1.324189519,2,0
Absent,12,2,1.782997394,2,1
Present,16,1,1.818304682,2,1
Present,12,1,0.865379481,2,1
Present,12,1,1.66537914,2,1
Absent,12,2,2.688908292,2,1
Present,8,1,0.818323739,2,1
Absent,8,1,3.524232549,2,0
Present,12,1,1.571264967,2,1
Absent,8,2,3.853637218,2,1
Present,16,1,0.994796164,2,1
Absent,8,2,1.430055978,2,1
Absent,12,1,3.536001967,2,0
Present,16,1,1.065377937,2,1
Present,16,1,1.05364856,2,1
Present,12,1,1.936020984,2,1
Present,16,1,1.030077859,2,1
Absent,8,2,3.312435561,2,1
Present,16,1,1.077123338,2,1
Present,12,1,0.712441932,2,1
Absent,12,2,2.312455069,2,1
Absent,16,2,4.088937536,2,1
Absent,8,2,3.783044557,2,1
Present,12,1,1.265391663,2,1
Absent,8,2,2.535987963,2,1
Present,12,1,1.71242997,2,1
Absent,16,1,3.535958491,2,0
Absent,12,2,3.371286194,2,1
Present,8,1,0.735973968,2,1
Absent,16,2,2.324180857,2,1
Absent,12,1,2.66542258,2,0
Absent,8,2,2.535981134,2,1
Absent,16,2,3.606570649,2,1
Present,8,1,0.935974407,2,1
Absent,16,1,2.877162482,2,0
Present,8,1,0.653587543,2,1
Absent,12,1,1.206549191,2,0
Present,8,1,1.477128296,2,1
Present,12,1,0.865391543,2,1
Present,8,1,0.582986798,2,1
Absent,16,2,1.771238281,2,1
Absent,16,2,2.630057554,2,1
Present,12,1,0.94773168,2,1
Present,8,1,0.806547913,2,1
Present,8,1,0.571249945,2,1
Absent,16,2,3.065376569,2,1
Present,16,1,0.771271182,2,1
Present,8,1,0.982918249,2,1
Absent,8,2,3.206547585,2,1
Present,16,1,0.583168515,2,1
Absent,8,2,1.73594931,2,1
Absent,12,2,4.088933404,2,1
Absent,12,2,2.065359143,2,1
Present,8,1,0.947722688,2,1
Present,16,1,1.535978512,2,1
Absent,8,2,3.312451458,2,1
Present,12,1,0.806578904,2,1
Present,12,1,1.430083503,2,1
Present,12,1,0.865370298,2,1
Present,12,1,0.877135308,2,1
Absent,12,2,2.1006719,2,1
Absent,12,1,3.618358574,2,0
Present,16,1,1.018316917,2,1
Absent,8,2,2.053600733,2,1
Absent,16,2,3.465358031,2,1
Absent,12,2,3.288915996,2,1
Present,16,1,2.665356512,2,1
Absent,8,2,4.394808223,2,1
Present,8,1,0.594757897,2,1
Absent,16,-1,4.994196233,2,0
Present,16,1,1.641862457,2,1
Absent,12,2,3.983698586,2,1
Present,16,1,1.9712907,2,1
Present,12,1,0.794837152,2,1
Absent,8,2,1.771255639,2,1
Present,12,1,1.053667713,2,1
Present,16,1,2.630079653,2,1
Present,12,1,1.288929898,2,1
Absent,16,2,2.359503536,2,1
Absent,16,2,3.359479216,2,1
Present,8,1,0.618468866,2,1
Present,8,1,0.547714292,2,1
Present,16,1,2.206580724,2,1
Absent,16,2,2.335948398,2,1
Present,8,1,0.536010533,2,1
Absent,16,2,2.441876897,2,1
Absent,8,2,3.877179665,2,1
Absent,16,2,2.571237875,2,1
Absent,8,1,2.72422357,2,0
Absent,12,2,1.300655748,2,1
Absent,12,2,1.677157568,2,1
Present,8,1,1.112454438,2,1
Absent,8,2,2.371233667,2,1
Absent,12,2,1.912412344,2,1
Present,8,1,0.865369567,2,1
Present,16,1,0.594789562,2,1
Present,12,1,0.677100663,2,1
Absent,8,2,2.465391643,2,1
Present,12,1,1.547712408,2,1
Absent,12,2,2.088896926,2,1
Present,16,1,2.559455992,2,1
Absent,16,2,1.347726126,2,1
Present,12,1,1.230107808,2,1
Absent,12,2,1.95948158,2,1
Present,8,1,1.218315887,2,1
Absent,16,2,2.241890102,2,1
Present,12,1,1.17126732,2,1
Absent,16,2,2.230049775,2,1
Absent,12,2,2.630136862,2,1
Present,8,1,0.865369567,2,1
Present,16,1,0.900663542,2,1
Absent,8,2,3.336007914,2,1
Present,12,1,0.947714969,2,1
Absent,12,2,2.80656175,2,1
Absent,12,2,2.383028405,2,1
Present,16,1,1.312449511,2,1
Present,12,1,1.359498191,2,1
Present,16,1,0.606518669,2,1
Absent,16,2,1.453602322,2,1
Present,16,1,0.982989341,2,1
Absent,16,2,4.94774611,2,1
Present,8,1,0.653596981,2,1
Absent,8,2,1.735967926,2,1
Absent,12,2,3.524221585,2,1
Absent,8,2,1.571258002,2,1
Absent,8,2,3.677176241,2,1
Present,12,1,0.771262952,2,1
Present,8,1,0.524180451,2,1
Present,8,1,0.688881175,2,1
Absent,8,2,2.877161648,2,1
Absent,16,1,0.888907169,2,0
Present,16,1,1.077106369,2,1
Absent,8,2,1.524199726,2,1
Present,16,1,1.535977291,2,1
Absent,8,2,1.853614639,2,1
Absent,12,1,2.065354216,2,0
Absent,8,2,2.112549484,2,1
Present,8,1,1.500676582,2,1
Present,8,1,1.418325867,2,1
Present,12,1,1.512390897,2,1
Absent,16,2,2.841845087,2,1
Absent,16,2,3.783042923,2,1
Absent,12,2,2.700682817,2,1
Absent,12,2,2.171294502,2,1
Present,16,1,1.759478537,2,1
Present,8,1,0.524190236,2,1
Present,12,1,0.924245927,2,1
Present,8,1,0.959483306,2,1
Present,12,1,0.630069413,2,1
Present,8,1,0.50066073,2,1
Absent,8,2,2.230085064,2,1
Absent,16,2,2.19481631,2,1
Absent,16,2,3.383030628,2,1
Present,12,1,0.535968102,2,1
Present,12,1,0.665357023,2,1
Present,16,1,2.053625714,2,1
Present,16,1,0.888868732,2,1
Absent,8,2,2.724208641,2,1
Absent,12,2,2.58304252,2,1
Absent,12,2,3.771275874,2,1
Present,12,2,2.379485788,3,0
Present,12,1,1.665358677,3,1
Absent,16,2,2.677167748,3,1
Absent,16,2,3.112440138,3,1
Present,12,1,4.065438481,3,1
Absent,8,2,3.771280192,3,1
